date,is_weekend,is_public_hol,is_school_break,official_day_off,is_bridge_day,day_type,is_extended_day_off
2021-04-12,False,False,False,False,False,workday,False
2021-04-13,False,False,False,False,False,workday,False
2021-04-14,False,False,False,False,False,workday,False
2021-04-15,False,False,False,False,False,workday,False
2021-04-16,False,False,False,False,False,workday,False
2021-04-17,True,False,False,True,False,weekend,True
2021-04-18,True,False,False,True,False,weekend,True
2021-04-19,False,False,False,False,False,workday,False
2021-04-20,False,False,False,False,False,workday,False
2021-04-21,False,False,False,False,False,workday,False
2021-04-22,False,False,False,False,False,workday,False
2021-04-23,False,False,False,False,False,workday,False
2021-04-24,True,False,False,True,False,weekend,True
2021-04-25,True,False,False,True,False,weekend,True
2021-04-26,False,False,True,True,False,workday,False
2021-04-27,False,False,True,True,False,workday,False
2021-04-28,False,False,True,True,False,workday,False
2021-04-29,False,False,True,True,False,workday,False
2021-04-30,False,False,True,True,False,workday,False
2021-05-01,True,True,True,True,False,public_holiday,True
2021-05-02,True,False,True,True,False,weekend,True
2021-05-03,False,False,True,True,False,workday,False
2021-05-04,False,False,True,True,False,workday,False
2021-05-05,False,False,True,True,False,workday,False
2021-05-06,False,False,True,True,False,workday,False
2021-05-07,False,False,True,True,False,workday,False
2021-05-08,True,False,True,True,False,weekend,True
2021-05-09,True,False,False,True,False,weekend,True
2021-05-10,False,False,False,False,False,workday,False
2021-05-11,False,False,False,False,False,workday,False
2021-05-12,False,False,False,False,False,workday,False
2021-05-13,False,True,False,True,False,public_holiday,True
2021-05-14,False,False,False,False,True,bridge_day,True
2021-05-15,True,False,False,True,False,weekend,True
2021-05-16,True,False,False,True,False,weekend,True
2021-05-17,False,False,False,False,False,workday,False
2021-05-18,False,False,False,False,False,workday,False
2021-05-19,False,False,False,False,False,workday,False
2021-05-20,False,False,False,False,False,workday,False
2021-05-21,False,False,False,False,False,workday,False
2021-05-22,True,False,False,True,False,weekend,True
2021-05-23,True,False,False,True,False,weekend,True
2021-05-24,False,True,False,True,False,public_holiday,True
2021-05-25,False,False,False,False,False,workday,False
2021-05-26,False,False,False,False,False,workday,False
2021-05-27,False,False,False,False,False,workday,False
2021-05-28,False,False,False,False,False,workday,False
2021-05-29,True,False,False,True,False,weekend,True
2021-05-30,True,False,False,True,False,weekend,True
2021-05-31,False,False,False,False,False,workday,False
2021-06-01,False,False,False,False,False,workday,False
2021-06-02,False,False,False,False,False,workday,False
2021-06-03,False,False,False,False,False,workday,False
2021-06-04,False,False,False,False,False,workday,False
2021-06-05,True,False,False,True,False,weekend,True
2021-06-06,True,False,False,True,False,weekend,True
2021-06-07,False,False,False,False,False,workday,False
2021-06-08,False,False,False,False,False,workday,False
2021-06-09,False,False,False,False,False,workday,False
2021-06-10,False,False,False,False,False,workday,False
2021-06-11,False,False,False,False,False,workday,False
2021-06-12,True,False,False,True,False,weekend,True
2021-06-13,True,False,False,True,False,weekend,True
2021-06-14,False,False,False,False,False,workday,False
2021-06-15,False,False,False,False,False,workday,False
2021-06-16,False,False,False,False,False,workday,False
2021-06-17,False,False,False,False,False,workday,False
